id,place_name,category_name,phone,address,road_address,x,y,place_url
1949561591,청년밥상문간,"음식점 > 한식 > 찌개,전골",010-2808-6031,서울 성북구 정릉동 398-8,서울 성북구 보국문로11길 18-2,127.00912148250727,127.00912148250727,
16819186,동방손칼국수,음식점 > 한식 > 국수 > 칼국수,02-909-5953,서울 성북구 정릉동 1013,서울 성북구 서경로 91,127.013686053343,127.013686053343,
2118043633,지하서재,음식점 > 술집,02-941-1834,서울 성북구 정릉동 266-328,서울 성북구 보국문로18길 34,127.01051030255165,127.01051030255165,
1536393758,마몽함박,"음식점 > 양식 > 스테이크,립",02-6083-2188,서울 성북구 정릉동 289-50,서울 성북구 보국문로 92,127.00825662334532,127.00825662334532,
16501643,기차순대국,음식점 > 한식 > 순대,02-914-9316,서울 성북구 정릉동 347-2,서울 성북구 솔샘로18길 91,127.00871265530098,127.00871265530098,
1014401448,소우락정육식당 정릉본점,"음식점 > 한식 > 육류,고기",02-911-9500,서울 성북구 정릉동 284-13,서울 성북구 보국문로 69,127.0088906560311,127.0088906560311,
16040192,홈타운바베큐치킨,음식점 > 치킨,02-914-0011,서울 성북구 정릉동 227,서울 성북구 서경로 92,127.01402132098627,127.01402132098627,
13092182,임금님수타자장면,음식점 > 중식 > 중국요리,02-914-1831,서울 성북구 정릉동 298-2,서울 성북구 보국문로 91,127.00770505942322,127.00770505942322,
21526500,청수장,"음식점 > 한식 > 육류,고기 > 갈비",02-913-6176,서울 성북구 정릉동 416-27,서울 성북구 정릉로 237-2,127.010749582839,127.010749582839,
1157943354,명륜진사갈비 서울미아점,"음식점 > 한식 > 육류,고기 > 갈비 > 명륜진사갈비",02-981-6669,서울 강북구 미아동 811-1,서울 강북구 삼양로27길 80,127.01613540184988,127.01613540184988,
24766632,주대국초밥집 미아점,"음식점 > 일식 > 초밥,롤",02-945-6650,서울 강북구 미아동 1343-3,서울 강북구 솔샘로48길 4,127.01843707883486,127.01843707883486,
711914897,모던양갱집,음식점 > 카페,010-2740-0173,서울 성북구 정릉동 266-98,서울 성북구 보국문로16길 72,127.01038937151557,127.01038937151557,
